row_long,DUP_ID,kingdom,phylum,class,order,family,genus,species,site,replicate_ltr,replicate_num,count,date
160,OTU_4563,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,b,NA,1,2015-06-01
161,OTU_8877,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzellii,MR,b,NA,10,2015-06-01
162,OTU_9633,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,MR,b,NA,1,2015-06-01
163,OTU_13718,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia avirostris,MR,b,NA,3,2015-06-01
164,OTU_15187,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,b,NA,1,2015-06-01
165,OTU_27111,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,MR,b,NA,2,2015-06-01
166,OTU_29080,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,MR,b,NA,3,2015-06-01
167,OTU_29371,Eukaryota,Arthropoda,Maxillopoda,Sessilia,Balanidae,Amphibalanus,Amphibalanus sp. OPC-2014,MR,b,NA,3,2015-06-01
168,OTU_41904,Eukaryota,Arthropoda,Maxillopoda,Sessilia,Balanidae,Amphibalanus,Amphibalanus amphitrite,MR,b,NA,2,2015-06-01
169,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,c,NA,29,2015-06-01
